,indicator,name,upperdistrict,value,year
0,crimes,Пресненский,ЦАО,3166.0,2014
0,crimes,Пресненский,ЦАО,2925.0,2013
0,crimes,Пресненский,ЦАО,2818.0,2012
0,crimes,Пресненский,ЦАО,,2011
0,economiccrimes,Пресненский,ЦАО,,2015
0,economiccrimes,Пресненский,ЦАО,,2014
0,economiccrimes,Пресненский,ЦАО,,2013
0,economiccrimes,Пресненский,ЦАО,,2012
0,economiccrimes,Пресненский,ЦАО,,2011
0,gravecrimes,Пресненский,ЦАО,,2015
0,gravecrimes,Пресненский,ЦАО,819.0,2014
0,gravecrimes,Пресненский,ЦАО,932.0,2013
0,gravecrimes,Пресненский,ЦАО,825.0,2012
0,gravecrimes,Пресненский,ЦАО,,2011
0,murders,Пресненский,ЦАО,,2015
0,murders,Пресненский,ЦАО,,2014
0,murders,Пресненский,ЦАО,8.0,2013
0,murders,Пресненский,ЦАО,10.0,2012
0,murders,Пресненский,ЦАО,,2011
0,healthdamage,Пресненский,ЦАО,,2015
0,healthdamage,Пресненский,ЦАО,,2014
0,healthdamage,Пресненский,ЦАО,,2013
0,healthdamage,Пресненский,ЦАО,4.0,2012
0,healthdamage,Пресненский,ЦАО,,2011
0,robbing,Пресненский,ЦАО,135.0,2015
0,robbing,Пресненский,ЦАО,,2014
0,robbing,Пресненский,ЦАО,183.0,2013
0,robbing,Пресненский,ЦАО,189.0,2012
0,robbing,Пресненский,ЦАО,,2011
0,banditry,Пресненский,ЦАО,36.0,2015
0,banditry,Пресненский,ЦАО,,2014
0,banditry,Пресненский,ЦАО,43.0,2013
0,banditry,Пресненский,ЦАО,62.0,2012
0,banditry,Пресненский,ЦАО,,2011
0,thefts,Пресненский,ЦАО,1731.0,2015
0,thefts,Пресненский,ЦАО,,2014
0,thefts,Пресненский,ЦАО,1504.0,2013
0,thefts,Пресненский,ЦАО,1643.0,2012
0,thefts,Пресненский,ЦАО,,2011
0,burglary,Пресненский,ЦАО,71.0,2015
0,burglary,Пресненский,ЦАО,,2014
0,burglary,Пресненский,ЦАО,119.0,2013
0,burglary,Пресненский,ЦАО,114.0,2012
0,burglary,Пресненский,ЦАО,,2011
0,carthefts,Пресненский,ЦАО,59.0,2015
0,carthefts,Пресненский,ЦАО,,2014
0,carthefts,Пресненский,ЦАО,141.0,2013
0,carthefts,Пресненский,ЦАО,142.0,2012
0,carthefts,Пресненский,ЦАО,,2011
0,fraud,Пресненский,ЦАО,,2015
0,fraud,Пресненский,ЦАО,159.0,2014
0,fraud,Пресненский,ЦАО,,2013
0,fraud,Пресненский,ЦАО,,2012
0,fraud,Пресненский,ЦАО,,2011
0,hijacking,Пресненский,ЦАО,,2015
0,hijacking,Пресненский,ЦАО,,2014
0,hijacking,Пресненский,ЦАО,13.0,2013
0,hijacking,Пресненский,ЦАО,32.0,2012
0,hijacking,Пресненский,ЦАО,,2011
0,drugs,Пресненский,ЦАО,208.0,2015
0,drugs,Пресненский,ЦАО,,2014
0,drugs,Пресненский,ЦАО,123.0,2013
0,drugs,Пресненский,ЦАО,94.0,2012
0,drugs,Пресненский,ЦАО,,2011
0,publicplaces,Пресненский,ЦАО,,2015
0,publicplaces,Пресненский,ЦАО,,2014
0,publicplaces,Пресненский,ЦАО,,2013
0,publicplaces,Пресненский,ЦАО,,2012
0,publicplaces,Пресненский,ЦАО,,2011
0,street,Пресненский,ЦАО,,2015
0,street,Пресненский,ЦАО,,2014
0,street,Пресненский,ЦАО,,2013
0,street,Пресненский,ЦАО,,2012
0,street,Пресненский,ЦАО,,2011
0,population,Таганский,ЦАО,119862.0,2015
0,population,Таганский,ЦАО,119094.0,2014
0,population,Таганский,ЦАО,117932.0,2013
0,population,Таганский,ЦАО,117543.0,2012
0,population,Таганский,ЦАО,117228.0,2011
0,crimebook,Таганский,ЦАО,,2015
0,crimebook,Таганский,ЦАО,,2014
0,crimebook,Таганский,ЦАО,34707.0,2013
0,crimebook,Таганский,ЦАО,22757.0,2012
0,crimebook,Таганский,ЦАО,,2011
0,crimes,Таганский,ЦАО,2010.0,2015
0,crimes,Таганский,ЦАО,1806.0,2014
0,crimes,Таганский,ЦАО,2295.0,2013
0,crimes,Таганский,ЦАО,1875.0,2012
0,crimes,Таганский,ЦАО,1701.0,2011
0,economiccrimes,Таганский,ЦАО,,2015
0,economiccrimes,Таганский,ЦАО,,2014
0,economiccrimes,Таганский,ЦАО,,2013
0,economiccrimes,Таганский,ЦАО,,2012
0,economiccrimes,Таганский,ЦАО,,2011
0,gravecrimes,Таганский,ЦАО,855.0,2015
0,gravecrimes,Таганский,ЦАО,724.0,2014
0,gravecrimes,Таганский,ЦАО,799.0,2013
0,gravecrimes,Таганский,ЦАО,626.0,2012
0,gravecrimes,Таганский,ЦАО,595.0,2011
0,murders,Таганский,ЦАО,,2015
0,murders,Таганский,ЦАО,,2014
0,murders,Таганский,ЦАО,10.0,2013
0,murders,Таганский,ЦАО,7.0,2012
0,murders,Таганский,ЦАО,12.0,2011
0,healthdamage,Таганский,ЦАО,,2015
0,healthdamage,Таганский,ЦАО,,2014
0,healthdamage,Таганский,ЦАО,14.0,2013
0,healthdamage,Таганский,ЦАО,10.0,2012
0,healthdamage,Таганский,ЦАО,10.0,2011
0,robbing,Таганский,ЦАО,,2015
0,robbing,Таганский,ЦАО,94.0,2014
0,robbing,Таганский,ЦАО,166.0,2013
0,robbing,Таганский,ЦАО,122.0,2012
0,robbing,Таганский,ЦАО,147.0,2011
0,banditry,Таганский,ЦАО,38.0,2015
0,banditry,Таганский,ЦАО,29.0,2014
0,banditry,Таганский,ЦАО,52.0,2013
0,banditry,Таганский,ЦАО,35.0,2012
0,banditry,Таганский,ЦАО,29.0,2011
0,thefts,Таганский,ЦАО,,2015
0,thefts,Таганский,ЦАО,974.0,2014
0,thefts,Таганский,ЦАО,1049.0,2013
0,thefts,Таганский,ЦАО,810.0,2012
0,thefts,Таганский,ЦАО,764.0,2011
0,burglary,Таганский,ЦАО,23.0,2015
0,burglary,Таганский,ЦАО,34.0,2014
0,burglary,Таганский,ЦАО,83.0,2013
0,burglary,Таганский,ЦАО,58.0,2012
0,burglary,Таганский,ЦАО,48.0,2011
0,carthefts,Таганский,ЦАО,59.0,2015
0,carthefts,Таганский,ЦАО,78.0,2014
0,carthefts,Таганский,ЦАО,112.0,2013
0,carthefts,Таганский,ЦАО,129.0,2012
0,carthefts,Таганский,ЦАО,,2011
0,fraud,Таганский,ЦАО,,2015
0,fraud,Таганский,ЦАО,,2014
0,fraud,Таганский,ЦАО,341.0,2013
0,fraud,Таганский,ЦАО,283.0,2012
0,fraud,Таганский,ЦАО,268.0,2011
